Frame,Vehicle_Count,Density_Decision
427,4,Dusuk Yogunluk
428,4,Dusuk Yogunluk
429,3,Dusuk Yogunluk
430,3,Dusuk Yogunluk
431,3,Dusuk Yogunluk
432,3,Dusuk Yogunluk
433,3,Dusuk Yogunluk
434,3,Dusuk Yogunluk
435,4,Dusuk Yogunluk
436,4,Dusuk Yogunluk
437,4,Dusuk Yogunluk
438,3,Dusuk Yogunluk
439,3,Dusuk Yogunluk
440,3,Dusuk Yogunluk
441,2,Dusuk Yogunluk
442,2,Dusuk Yogunluk
443,2,Dusuk Yogunluk
444,3,Dusuk Yogunluk
445,3,Dusuk Yogunluk
446,3,Dusuk Yogunluk
447,3,Dusuk Yogunluk
448,3,Dusuk Yogunluk
449,3,Dusuk Yogunluk
450,2,Dusuk Yogunluk
451,2,Dusuk Yogunluk
452,2,Dusuk Yogunluk
453,4,Dusuk Yogunluk
454,4,Dusuk Yogunluk
455,4,Dusuk Yogunluk
456,5,Dusuk Yogunluk
457,5,Dusuk Yogunluk
458,5,Dusuk Yogunluk
459,5,Dusuk Yogunluk
460,5,Dusuk Yogunluk
461,5,Dusuk Yogunluk
462,4,Dusuk Yogunluk
463,4,Dusuk Yogunluk
464,4,Dusuk Yogunluk
465,4,Dusuk Yogunluk
466,4,Dusuk Yogunluk
467,4,Dusuk Yogunluk
468,4,Dusuk Yogunluk
469,4,Dusuk Yogunluk
470,4,Dusuk Yogunluk
471,3,Dusuk Yogunluk
472,3,Dusuk Yogunluk
473,3,Dusuk Yogunluk
474,4,Dusuk Yogunluk
475,4,Dusuk Yogunluk
476,4,Dusuk Yogunluk
477,4,Dusuk Yogunluk
478,4,Dusuk Yogunluk
479,4,Dusuk Yogunluk
480,4,Dusuk Yogunluk
481,4,Dusuk Yogunluk
482,4,Dusuk Yogunluk
483,4,Dusuk Yogunluk
484,4,Dusuk Yogunluk
485,4,Dusuk Yogunluk
486,5,Dusuk Yogunluk
487,5,Dusuk Yogunluk
488,5,Dusuk Yogunluk
489,6,Orta Yogunluk
490,6,Orta Yogunluk
491,6,Orta Yogunluk
492,2,Dusuk Yogunluk
493,2,Dusuk Yogunluk
494,2,Dusuk Yogunluk
495,5,Dusuk Yogunluk
496,5,Dusuk Yogunluk
497,5,Dusuk Yogunluk
498,5,Dusuk Yogunluk
499,5,Dusuk Yogunluk
500,5,Dusuk Yogunluk
501,5,Dusuk Yogunluk
502,5,Dusuk Yogunluk
503,5,Dusuk Yogunluk
504,5,Dusuk Yogunluk
505,5,Dusuk Yogunluk
506,5,Dusuk Yogunluk
507,4,Dusuk Yogunluk
508,4,Dusuk Yogunluk
509,4,Dusuk Yogunluk
510,5,Dusuk Yogunluk
511,5,Dusuk Yogunluk
512,5,Dusuk Yogunluk
513,4,Dusuk Yogunluk
514,4,Dusuk Yogunluk
515,4,Dusuk Yogunluk
516,7,Orta Yogunluk
517,7,Orta Yogunluk
518,7,Orta Yogunluk
519,5,Dusuk Yogunluk
520,5,Dusuk Yogunluk
521,5,Dusuk Yogunluk
522,5,Dusuk Yogunluk
523,5,Dusuk Yogunluk
524,5,Dusuk Yogunluk
525,5,Dusuk Yogunluk
526,5,Dusuk Yogunluk
527,5,Dusuk Yogunluk
528,4,Dusuk Yogunluk
529,4,Dusuk Yogunluk
530,4,Dusuk Yogunluk
531,4,Dusuk Yogunluk
532,4,Dusuk Yogunluk
533,4,Dusuk Yogunluk
534,5,Dusuk Yogunluk
535,5,Dusuk Yogunluk
536,5,Dusuk Yogunluk
537,4,Dusuk Yogunluk
538,4,Dusuk Yogunluk
539,4,Dusuk Yogunluk
540,5,Dusuk Yogunluk
541,5,Dusuk Yogunluk
542,5,Dusuk Yogunluk
543,7,Orta Yogunluk
544,7,Orta Yogunluk
545,7,Orta Yogunluk
546,6,Orta Yogunluk
547,6,Orta Yogunluk
548,6,Orta Yogunluk
549,6,Orta Yogunluk
550,6,Orta Yogunluk
551,6,Orta Yogunluk
552,8,Orta Yogunluk
553,8,Orta Yogunluk
554,8,Orta Yogunluk
555,6,Orta Yogunluk
556,6,Orta Yogunluk
557,6,Orta Yogunluk
558,6,Orta Yogunluk
559,6,Orta Yogunluk
560,6,Orta Yogunluk
561,6,Orta Yogunluk
562,6,Orta Yogunluk
563,6,Orta Yogunluk
564,6,Orta Yogunluk
565,6,Orta Yogunluk
566,6,Orta Yogunluk
567,6,Orta Yogunluk
568,6,Orta Yogunluk
569,6,Orta Yogunluk
570,6,Orta Yogunluk
571,6,Orta Yogunluk
572,6,Orta Yogunluk
573,7,Orta Yogunluk
574,7,Orta Yogunluk
575,7,Orta Yogunluk
576,7,Orta Yogunluk
577,7,Orta Yogunluk
578,7,Orta Yogunluk
579,7,Orta Yogunluk
580,7,Orta Yogunluk
581,7,Orta Yogunluk
582,8,Orta Yogunluk
583,8,Orta Yogunluk
584,8,Orta Yogunluk
585,7,Orta Yogunluk
586,7,Orta Yogunluk
587,7,Orta Yogunluk
588,6,Orta Yogunluk
589,6,Orta Yogunluk
590,6,Orta Yogunluk
591,7,Orta Yogunluk
592,7,Orta Yogunluk
593,7,Orta Yogunluk
594,7,Orta Yogunluk
595,7,Orta Yogunluk
596,7,Orta Yogunluk
597,7,Orta Yogunluk
598,7,Orta Yogunluk
599,7,Orta Yogunluk
600,7,Orta Yogunluk
601,7,Orta Yogunluk
602,7,Orta Yogunluk
603,8,Orta Yogunluk
604,8,Orta Yogunluk
605,8,Orta Yogunluk
606,8,Orta Yogunluk
607,8,Orta Yogunluk
608,8,Orta Yogunluk
609,6,Orta Yogunluk
610,6,Orta Yogunluk
611,6,Orta Yogunluk
612,5,Dusuk Yogunluk
613,5,Dusuk Yogunluk
614,5,Dusuk Yogunluk
615,5,Dusuk Yogunluk
616,5,Dusuk Yogunluk
617,5,Dusuk Yogunluk
618,6,Orta Yogunluk
619,6,Orta Yogunluk
620,6,Orta Yogunluk
621,4,Dusuk Yogunluk
622,4,Dusuk Yogunluk
623,4,Dusuk Yogunluk
624,4,Dusuk Yogunluk
625,4,Dusuk Yogunluk
626,4,Dusuk Yogunluk
627,6,Orta Yogunluk
628,6,Orta Yogunluk
629,6,Orta Yogunluk
630,5,Dusuk Yogunluk
631,5,Dusuk Yogunluk
632,5,Dusuk Yogunluk
633,5,Dusuk Yogunluk
634,5,Dusuk Yogunluk
635,5,Dusuk Yogunluk
636,6,Orta Yogunluk
637,6,Orta Yogunluk
638,6,Orta Yogunluk
639,5,Dusuk Yogunluk
640,5,Dusuk Yogunluk
641,5,Dusuk Yogunluk
642,6,Orta Yogunluk
643,6,Orta Yogunluk
644,6,Orta Yogunluk
645,6,Orta Yogunluk
646,6,Orta Yogunluk
647,6,Orta Yogunluk
648,7,Orta Yogunluk
649,7,Orta Yogunluk
650,7,Orta Yogunluk
651,8,Orta Yogunluk
652,8,Orta Yogunluk
653,8,Orta Yogunluk
654,4,Dusuk Yogunluk
655,4,Dusuk Yogunluk
656,4,Dusuk Yogunluk
657,4,Dusuk Yogunluk
658,4,Dusuk Yogunluk
659,4,Dusuk Yogunluk
660,8,Orta Yogunluk
661,8,Orta Yogunluk
662,8,Orta Yogunluk
663,4,Dusuk Yogunluk
664,4,Dusuk Yogunluk
665,4,Dusuk Yogunluk
666,6,Orta Yogunluk
667,6,Orta Yogunluk
668,6,Orta Yogunluk
669,7,Orta Yogunluk
670,7,Orta Yogunluk
671,7,Orta Yogunluk
672,4,Dusuk Yogunluk
673,4,Dusuk Yogunluk
674,4,Dusuk Yogunluk
675,8,Orta Yogunluk
676,8,Orta Yogunluk
677,8,Orta Yogunluk
678,7,Orta Yogunluk
679,7,Orta Yogunluk
680,7,Orta Yogunluk
681,4,Dusuk Yogunluk
682,4,Dusuk Yogunluk
683,4,Dusuk Yogunluk
684,5,Dusuk Yogunluk
685,5,Dusuk Yogunluk
686,5,Dusuk Yogunluk
687,4,Dusuk Yogunluk
688,4,Dusuk Yogunluk
689,4,Dusuk Yogunluk
690,4,Dusuk Yogunluk
691,4,Dusuk Yogunluk
692,4,Dusuk Yogunluk
693,5,Dusuk Yogunluk
694,5,Dusuk Yogunluk
695,5,Dusuk Yogunluk
696,6,Orta Yogunluk
697,6,Orta Yogunluk
698,6,Orta Yogunluk
699,6,Orta Yogunluk
700,6,Orta Yogunluk
701,6,Orta Yogunluk
702,5,Dusuk Yogunluk
703,5,Dusuk Yogunluk
704,5,Dusuk Yogunluk
705,6,Orta Yogunluk
706,6,Orta Yogunluk
707,6,Orta Yogunluk
708,6,Orta Yogunluk
709,6,Orta Yogunluk
710,6,Orta Yogunluk
711,6,Orta Yogunluk
712,6,Orta Yogunluk
713,6,Orta Yogunluk
714,7,Orta Yogunluk
715,7,Orta Yogunluk
716,7,Orta Yogunluk
717,6,Orta Yogunluk
718,6,Orta Yogunluk
719,6,Orta Yogunluk
720,5,Dusuk Yogunluk
721,5,Dusuk Yogunluk
722,5,Dusuk Yogunluk
723,7,Orta Yogunluk
724,7,Orta Yogunluk
725,7,Orta Yogunluk
726,5,Dusuk Yogunluk
727,5,Dusuk Yogunluk
728,5,Dusuk Yogunluk
729,6,Orta Yogunluk
730,6,Orta Yogunluk
731,6,Orta Yogunluk
732,8,Orta Yogunluk
733,8,Orta Yogunluk
734,8,Orta Yogunluk
735,8,Orta Yogunluk
736,8,Orta Yogunluk
737,8,Orta Yogunluk
738,9,Orta Yogunluk
739,9,Orta Yogunluk
740,9,Orta Yogunluk
741,8,Orta Yogunluk
742,8,Orta Yogunluk
743,8,Orta Yogunluk
744,6,Orta Yogunluk
745,6,Orta Yogunluk
746,6,Orta Yogunluk
747,8,Orta Yogunluk
748,8,Orta Yogunluk
749,8,Orta Yogunluk
750,6,Orta Yogunluk
751,6,Orta Yogunluk
752,6,Orta Yogunluk
753,6,Orta Yogunluk
754,6,Orta Yogunluk
755,6,Orta Yogunluk
756,6,Orta Yogunluk
757,6,Orta Yogunluk
758,6,Orta Yogunluk
759,7,Orta Yogunluk
760,7,Orta Yogunluk
761,7,Orta Yogunluk
762,8,Orta Yogunluk
763,8,Orta Yogunluk
764,8,Orta Yogunluk
765,8,Orta Yogunluk
766,8,Orta Yogunluk
767,8,Orta Yogunluk
768,9,Orta Yogunluk
769,9,Orta Yogunluk
770,9,Orta Yogunluk
771,9,Orta Yogunluk
772,9,Orta Yogunluk
773,9,Orta Yogunluk
774,7,Orta Yogunluk
775,7,Orta Yogunluk
776,7,Orta Yogunluk
777,7,Orta Yogunluk
778,7,Orta Yogunluk
779,7,Orta Yogunluk
780,7,Orta Yogunluk
781,7,Orta Yogunluk
782,7,Orta Yogunluk
783,8,Orta Yogunluk
784,8,Orta Yogunluk
785,8,Orta Yogunluk
786,8,Orta Yogunluk
787,8,Orta Yogunluk
788,8,Orta Yogunluk
789,9,Orta Yogunluk
790,9,Orta Yogunluk
791,9,Orta Yogunluk
792,8,Orta Yogunluk
793,8,Orta Yogunluk
794,8,Orta Yogunluk
795,8,Orta Yogunluk
796,8,Orta Yogunluk
797,8,Orta Yogunluk
798,9,Orta Yogunluk
799,9,Orta Yogunluk
800,9,Orta Yogunluk
801,8,Orta Yogunluk
802,8,Orta Yogunluk
803,8,Orta Yogunluk
804,8,Orta Yogunluk
805,8,Orta Yogunluk
806,8,Orta Yogunluk
807,10,Orta Yogunluk
808,10,Orta Yogunluk
809,10,Orta Yogunluk
810,8,Orta Yogunluk
811,8,Orta Yogunluk
812,8,Orta Yogunluk
813,7,Orta Yogunluk
814,7,Orta Yogunluk
815,7,Orta Yogunluk
816,8,Orta Yogunluk
817,8,Orta Yogunluk
818,8,Orta Yogunluk
819,8,Orta Yogunluk
820,8,Orta Yogunluk
821,8,Orta Yogunluk
822,9,Orta Yogunluk
823,9,Orta Yogunluk
824,9,Orta Yogunluk
825,10,Orta Yogunluk
826,10,Orta Yogunluk
827,10,Orta Yogunluk
828,9,Orta Yogunluk
829,9,Orta Yogunluk
830,9,Orta Yogunluk
831,8,Orta Yogunluk
832,8,Orta Yogunluk
833,8,Orta Yogunluk
834,12,Orta Yogunluk
835,12,Orta Yogunluk
836,12,Orta Yogunluk
837,12,Orta Yogunluk
838,12,Orta Yogunluk
839,12,Orta Yogunluk
840,11,Orta Yogunluk
841,11,Orta Yogunluk
842,11,Orta Yogunluk
843,13,Yuksek Yogunluk
844,13,Yuksek Yogunluk
845,13,Yuksek Yogunluk
846,12,Orta Yogunluk
847,12,Orta Yogunluk
848,12,Orta Yogunluk
849,11,Orta Yogunluk
850,11,Orta Yogunluk
851,11,Orta Yogunluk
852,12,Orta Yogunluk
853,12,Orta Yogunluk
854,12,Orta Yogunluk
855,10,Orta Yogunluk
856,10,Orta Yogunluk
857,10,Orta Yogunluk
858,10,Orta Yogunluk
859,10,Orta Yogunluk
860,10,Orta Yogunluk
861,10,Orta Yogunluk
862,10,Orta Yogunluk
863,10,Orta Yogunluk
864,10,Orta Yogunluk
865,10,Orta Yogunluk
866,10,Orta Yogunluk
867,9,Orta Yogunluk
868,9,Orta Yogunluk
869,9,Orta Yogunluk
870,10,Orta Yogunluk
871,10,Orta Yogunluk
872,10,Orta Yogunluk
873,10,Orta Yogunluk
874,10,Orta Yogunluk
875,10,Orta Yogunluk
876,11,Orta Yogunluk
877,11,Orta Yogunluk
878,11,Orta Yogunluk
879,8,Orta Yogunluk
880,8,Orta Yogunluk
881,8,Orta Yogunluk
882,8,Orta Yogunluk
883,8,Orta Yogunluk
884,8,Orta Yogunluk
885,7,Orta Yogunluk
886,7,Orta Yogunluk
887,7,Orta Yogunluk
888,9,Orta Yogunluk
889,9,Orta Yogunluk
890,9,Orta Yogunluk
891,12,Orta Yogunluk
892,12,Orta Yogunluk
893,12,Orta Yogunluk
894,9,Orta Yogunluk
895,9,Orta Yogunluk
896,9,Orta Yogunluk
897,8,Orta Yogunluk
898,8,Orta Yogunluk
899,8,Orta Yogunluk
900,8,Orta Yogunluk
901,8,Orta Yogunluk
902,8,Orta Yogunluk
903,11,Orta Yogunluk
904,11,Orta Yogunluk
905,11,Orta Yogunluk
906,9,Orta Yogunluk
907,9,Orta Yogunluk
908,9,Orta Yogunluk
909,12,Orta Yogunluk
910,12,Orta Yogunluk
911,12,Orta Yogunluk
912,12,Orta Yogunluk
913,12,Orta Yogunluk
914,12,Orta Yogunluk
915,13,Yuksek Yogunluk
916,13,Yuksek Yogunluk
917,13,Yuksek Yogunluk
918,12,Orta Yogunluk
919,12,Orta Yogunluk
920,12,Orta Yogunluk
921,11,Orta Yogunluk
922,11,Orta Yogunluk
923,11,Orta Yogunluk
924,11,Orta Yogunluk
925,11,Orta Yogunluk
926,11,Orta Yogunluk
927,11,Orta Yogunluk
928,11,Orta Yogunluk
929,11,Orta Yogunluk
930,10,Orta Yogunluk
931,10,Orta Yogunluk
932,10,Orta Yogunluk
933,8,Orta Yogunluk
934,8,Orta Yogunluk
